Regiao,Ano,Quantidade,Tipo_Crime
Ceilândia,2024,33,Homicídio
Ceilândia,2024,1,LCSM (Lesão Corporal Seguida de Morte)
Ceilândia,2024,1,Latrocínio
Ceilândia,2024,2185,Roubo a Transeunte
Ceilândia,2024,179,Roubo de Veículo
Ceilândia,2024,60,Roubo em Comércio
Ceilândia,2024,30,Roubo em Transporte Coletivo
Cruzeiro,2015,136,Furto em Veículo
Cruzeiro,2015,2,Homicídio
Cruzeiro,2015,0,LCSM (Lesão Corporal Seguida de Morte)
Cruzeiro,2015,1,Latrocínio
Cruzeiro,2015,159,Roubo a Transeunte
Cruzeiro,2015,39,Roubo de Veículo
Cruzeiro,2015,12,Roubo em Comércio
Cruzeiro,2015,0,Roubo em Transporte Coletivo
Cruzeiro,2016,87,Furto em Veículo
Cruzeiro,2016,0,Homicídio
Cruzeiro,2016,0,LCSM (Lesão Corporal Seguida de Morte)
Cruzeiro,2016,2,Latrocínio
Cruzeiro,2016,119,Roubo a Transeunte
Cruzeiro,2016,30,Roubo de Veículo
Cruzeiro,2016,11,Roubo em Comércio
Cruzeiro,2016,6,Roubo em Transporte Coletivo
Cruzeiro,2017,74,Furto em Veículo
Cruzeiro,2017,0,Homicídio
Cruzeiro,2017,0,LCSM (Lesão Corporal Seguida de Morte)
Cruzeiro,2017,0,Latrocínio
Cruzeiro,2017,108,Roubo a Transeunte
Cruzeiro,2017,38,Roubo de Veículo
Cruzeiro,2017,3,Roubo em Comércio
Cruzeiro,2017,3,Roubo em Transporte Coletivo
Cruzeiro,2018,92,Furto em Veículo
Cruzeiro,2018,0,Homicídio
Cruzeiro,2018,0,LCSM (Lesão Corporal Seguida de Morte)
Cruzeiro,2018,0,Latrocínio
Cruzeiro,2018,142,Roubo a Transeunte
Cruzeiro,2018,10,Roubo de Veículo
Cruzeiro,2018,4,Roubo em Comércio
Cruzeiro,2018,5,Roubo em Transporte Coletivo
Cruzeiro,2019,67,Furto em Veículo
Cruzeiro,2019,2,Homicídio
Cruzeiro,2019,0,LCSM (Lesão Corporal Seguida de Morte)
Cruzeiro,2019,0,Latrocínio
Cruzeiro,2019,121,Roubo a Transeunte
Cruzeiro,2019,12,Roubo de Veículo
Cruzeiro,2019,1,Roubo em Comércio
Cruzeiro,2019,2,Roubo em Transporte Coletivo
Cruzeiro,2020,36,Furto em Veículo
Cruzeiro,2020,0,Homicídio
Cruzeiro,2020,0,LCSM (Lesão Corporal Seguida de Morte)
Cruzeiro,2020,0,Latrocínio
Cruzeiro,2020,52,Roubo a Transeunte
Cruzeiro,2020,3,Roubo de Veículo
Cruzeiro,2020,3,Roubo em Comércio
Cruzeiro,2020,1,Roubo em Transporte Coletivo
Cruzeiro,2021,31,Furto em Veículo
Cruzeiro,2021,1,Homicídio
Cruzeiro,2021,0,LCSM (Lesão Corporal Seguida de Morte)
Cruzeiro,2021,0,Latrocínio
Cruzeiro,2021,58,Roubo a Transeunte
Cruzeiro,2021,5,Roubo de Veículo
Cruzeiro,2021,3,Roubo em Comércio
Cruzeiro,2021,1,Roubo em Transporte Coletivo
Cruzeiro,2022,34,Furto em Veículo
Cruzeiro,2022,1,Homicídio
Cruzeiro,2022,0,LCSM (Lesão Corporal Seguida de Morte)
Cruzeiro,2022,0,Latrocínio
Cruzeiro,2022,52,Roubo a Transeunte
Cruzeiro,2022,4,Roubo de Veículo
Cruzeiro,2022,2,Roubo em Comércio
Cruzeiro,2022,2,Roubo em Transporte Coletivo
Cruzeiro,2023,50,Furto em Veículo
Cruzeiro,2023,0,Homicídio
Cruzeiro,2023,0,LCSM (Lesão Corporal Seguida de Morte)
Cruzeiro,2023,0,Latrocínio
Cruzeiro,2023,27,Roubo a Transeunte
Cruzeiro,2023,0,Roubo de Veículo
Cruzeiro,2023,0,Roubo em Comércio
Cruzeiro,2023,0,Roubo em Transporte Coletivo
Cruzeiro,2024,54,Furto em Veículo
Cruzeiro,2024,0,Homicídio
Cruzeiro,2024,0,LCSM (Lesão Corporal Seguida de Morte)
Cruzeiro,2024,0,Latrocínio
Cruzeiro,2024,23,Roubo a Transeunte
Cruzeiro,2024,1,Roubo de Veículo
Cruzeiro,2024,1,Roubo em Comércio
Cruzeiro,2024,0,Roubo em Transporte Coletivo
Fercal,2015,6,Furto em Veículo
Fercal,2015,3,Homicídio
Fercal,2015,0,LCSM (Lesão Corporal Seguida de Morte)
Fercal,2015,0,Latrocínio
Fercal,2015,7,Roubo a Transeunte
Fercal,2015,6,Roubo de Veículo
Fercal,2015,2,Roubo em Comércio
Fercal,2015,3,Roubo em Transporte Coletivo
Fercal,2016,4,Furto em Veículo
Fercal,2016,5,Homicídio
Fercal,2016,0,LCSM (Lesão Corporal Seguida de Morte)
Fercal,2016,0,Latrocínio
Fercal,2016,27,Roubo a Transeunte
Fercal,2016,13,Roubo de Veículo
Fercal,2016,7,Roubo em Comércio
Fercal,2016,2,Roubo em Transporte Coletivo
Fercal,2017,23,Furto em Veículo
Fercal,2017,7,Homicídio
Fercal,2017,0,LCSM (Lesão Corporal Seguida de Morte)
Fercal,2017,1,Latrocínio
Fercal,2017,20,Roubo a Transeunte
Fercal,2017,9,Roubo de Veículo
Fercal,2017,2,Roubo em Comércio
Fercal,2017,8,Roubo em Transporte Coletivo
Fercal,2018,18,Furto em Veículo
Fercal,2018,5,Homicídio
Fercal,2018,0,LCSM (Lesão Corporal Seguida de Morte)
Fercal,2018,0,Latrocínio
Fercal,2018,30,Roubo a Transeunte
Fercal,2018,13,Roubo de Veículo
Fercal,2018,3,Roubo em Comércio
Fercal,2018,9,Roubo em Transporte Coletivo
Fercal,2019,13,Furto em Veículo
Fercal,2019,5,Homicídio
Fercal,2019,0,LCSM (Lesão Corporal Seguida de Morte)
Fercal,2019,0,Latrocínio
Fercal,2019,35,Roubo a Transeunte
Fercal,2019,14,Roubo de Veículo
Fercal,2019,1,Roubo em Comércio
Fercal,2019,0,Roubo em Transporte Coletivo
Fercal,2020,11,Furto em Veículo
Fercal,2020,4,Homicídio
Fercal,2020,0,LCSM (Lesão Corporal Seguida de Morte)
Fercal,2020,0,Latrocínio
Fercal,2020,27,Roubo a Transeunte
Fercal,2020,2,Roubo de Veículo
Fercal,2020,2,Roubo em Comércio
Fercal,2020,2,Roubo em Transporte Coletivo
Fercal,2021,8,Furto em Veículo
Fercal,2021,3,Homicídio
